"Latitude";"Longitude";"Desc_Basica";"Desc_Complemento";"Distrito";"Data_ano";"Data_mes";"Data_hora";"Horas_p_Fechamento"
40.6944165911263;-73.9574762775379;"Utility";"Power Outage";"Brooklyn";2016;"09";"23";NA
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
NA;NA;"Fire";"3rd Alarm";"Brooklyn";2016;"11";"20";NA
NA;NA;"Utility";"Gas High Pressure";"Brooklyn";2016;"11";"14";NA
NA;NA;"Structural";"Sidewalk Collapse";"Manhattan";2016;"10";"12";NA
NA;NA;"HazMat";"Fuel";"Manhattan";2016;"10";"04";NA
40.7803567512002;-73.9656327909966;"Fire";"6th Alarm";"Manhattan";2016;"10";"01";NA
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
NA;NA;"Law Enforcement";"Suspicious Package";"Brooklyn";2016;"10";"21";NA
NA;NA;"Fire";"6th Alarm";"Manhattan";2016;"10";"03";NA
NA;NA;"Medical";"Other";"Brooklyn";2016;"11";"14";1.46
NA;NA;"Structural";"Partial Collapse";"Brooklyn";2014;"09";"00";2.08
40.738724878474;-74.0001118649909;"Utility";"Water Service Line";"Manhattan";2016;"09";"23";NA
40.6843171291476;-73.9842723559893;"Structural";"Falling Debris";"Brooklyn";2016;"08";"16";NA
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
NA;NA;"Fire";"10-76 (Commercial High Rise Fire)";"Manhattan";2016;"10";"06";NA
NA;NA;"Utility";"Water Service Line";"Manhattan";2016;"10";"07";NA
40.6394119607894;-74.0855862872433;"Fire";"6th Alarm";"Staten Island";2016;"08";"18";NA
40.7445682443686;-73.8691605654925;"Fire";"Explosion";"Queens";2015;"02";"17";3.58
40.6843171291476;-73.9842723559893;"Structural";"Falling Debris";"Brooklyn";2016;"08";"16";NA
NA;NA;"Fire";"2nd Alarm";"Queens";2016;"10";"16";NA
40.7715150732485;-73.931277459222;"Utility";"Water Main";"Queens";2016;"08";"17";NA
40.6823508599506;-73.9451639846253;"Structural";"Partial Collapse";"Brooklyn";2016;"08";"22";NA
40.8143702072837;-73.8966998717442;"Utility";"Other";"Bronx";2016;"08";"15";NA
40.7108271155245;-74.0033797944307;"Utility";"Other";"Manhattan";2016;"08";"12";NA
40.6823508599506;-73.9451639846253;"Structural";"Partial Collapse";"Brooklyn";2016;"08";"22";NA
40.6987524997341;-73.9898696658322;"HazMat";"Fuel";"Brooklyn";2016;"02";"15";2.83
40.6926848583846;-73.8560858328728;"HazMat";"High Carbon Monoxide";"Queens";2016;"02";"16";0.15
40.850234370862;-73.8896716105853;"HazMat";"Other";"Bronx";2016;"02";"07";2.2
40.5863161664371;-73.8158078669977;"HazMat";"Other";"Queens";2016;"02";"23";1
40.8042864730359;-73.9669853835878;"HazMat";"High Carbon Monoxide";"Manhattan";2016;"02";"00";0.84
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
40.6653464905146;-73.9338091209489;"Structural";"Life Safety Violations";"Brooklyn";2016;"10";"22";27.29
NA;NA;"Fire";"2nd Alarm";"Queens";2016;"10";"16";NA
40.7434183914603;-74.0016311786438;"Structural";"Other";"Manhattan";2016;"09";"10";NA
40.8463243256416;-73.86732310255;"HazMat";"High Carbon Monoxide";"Bronx";2016;"03";"19";18.67
40.6825964991555;-73.9234910510577;"HazMat";"High Carbon Monoxide";"Brooklyn";2016;"03";"10";7.7
NA;NA;"Law Enforcement";"Explosion";"Bronx";2016;"09";"07";NA
40.7777074185606;-73.9473168480653;"HazMat";"High Carbon Monoxide";"Manhattan";2016;"03";"09";21.98
40.7413507443641;-74.0368578184314;"Utility";"Water Main";"Queens";2016;"10";"06";NA
NA;NA;"Utility";"Water Service Line";"Brooklyn";2016;"03";"11";6.28
40.7431521622263;-74.0000360878789;"HazMat";"Other";"Manhattan";2016;"03";"20";0.63
40.757347125108;-73.9192253232994;"HazMat";"Other";"Queens";2016;"03";"19";1.06
40.6287763772034;-73.9699254676108;"HazMat";"Other";"Brooklyn";2016;"03";"21";2.61
40.6305757151937;-74.106250865222;"HazMat";"Other";"Staten Island";2016;"04";"15";1.34
40.7064485604211;-74.0127608615881;"HazMat";"Other";"Manhattan";2016;"04";"11";3.26
40.7553379069522;-73.9853131557468;"HazMat";"Other";"Manhattan";2016;"04";"21";1.43
NA;NA;"Fire";"Haz Mat";"Manhattan";2016;"04";"21";2.82
40.6926946090296;-73.9939454592817;"Structural";"Construction Accident";"Brooklyn";2016;"09";"17";NA
40.6411269433393;-73.9470933622857;"Structural";"Street Collapse";"Brooklyn";2016;"09";"03";NA
NA;NA;"Fire";"2nd Alarm";"Brooklyn";2016;"09";"02";NA
40.7334352297711;-73.8641705445853;"HazMat";"High Carbon Monoxide";"Queens";2016;"05";"23";1.22
40.7139421617706;-73.9915771730753;"HazMat";"High Carbon Monoxide";"Manhattan";2016;"05";"08";29.75
NA;NA;"HazMat";"Other";"Brooklyn";2016;"05";"22";4.5
40.8260913175816;-73.9269248949247;"Administration";"Planned Event";"Bronx";2016;"09";"18";NA
40.6760949408486;-73.949913518939;"HazMat";"High Carbon Monoxide";"Brooklyn";2016;"06";"08";2.33
40.7160146666921;-74.0047436238967;"HazMat";"Other";"Manhattan";2016;"06";"10";239.84
